ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
196,"JYP Entertainment",27400000,Music,Music,19883150017,"JYP Entertainment","South Korea",307631000,14800000,922900,200000,51709098,35.907757,127.766922,2008-01-25,42106719
197," Kids Roma Show",27400000,"People & Blogs",Entertainment,10336420490," Kids Roma Show","United States",175844000,8400000,527500,400000,328239523,37.09024,-95.712891,2015-05-12,270663028
198,DanTDM,27400000,Gaming,Games,19417887510,DanTDM,"United Kingdom",78668000,3800000,236000,500000,66834405,55.378051,-3.435973,2012-07-14,55908316
199,"Nick Jr.",27300000,"Film & Animation",Entertainment,22440611155,"Nick Jr.","United States",42546000,2000000,127600,200000,328239523,37.09024,-95.712891,2012-09-27,270663028
200,"Crazy XYZ",27300000,Entertainment,Tech,7705492350,"Crazy XYZ",India,102235000,4900000,306700,100000,1366417754,20.593684,78.96288,2017-09-10,471031528
202,"Dushyant kukreja",27100000,Entertainment,Entertainment,17318452893,"Dushyant kukreja",India,429692000,20600000,1300000,700000,1366417754,20.593684,78.96288,2015-09-26,471031528
204,"Brent Rivera",27000000,Comedy,Entertainment,6570935979,"Brent Rivera","United States",144453000,6900000,433400,300000,328239523,37.09024,-95.712891,2009-08-01,270663028
205,"Renato Garcia YT",26900000,Entertainment,Entertainment,7938616641,"Renato Garcia YT",Brazil,82912000,4000000,248700,200000,212559417,-14.235004,-51.92528,2011-09-29,183241641
206,"Beast Reacts",26700000,"People & Blogs",Entertainment,4388047013,"Beast Reacts","United States",276187000,13300000,828600,1200000,328239523,37.09024,-95.712891,2016-04-24,270663028
207,enchufetv,26700000,Comedy,Comedy,10317306313,enchufetv,Colombia,24363000,1200000,73100,nan,50339443,4.570868,-74.297333,2011-11-13,40827302
208,Netflix,26700000,Entertainment,Entertainment,7173668905,Netflix,"United States",118226000,5700000,354700,200000,328239523,37.09024,-95.712891,2012-07-17,270663028
209,"Raffy Tulfo in Action",26500000,"News & Politics",News,15065753455,"Raffy Tulfo in Action",Philippines,163130000,7800000,489400,300000,108116615,12.879721,121.774017,2016-04-20,50975903
210,WORLDSTARHIPHOP,26500000,Music,Music,20358117330,WORLDSTARHIPHOP,"United States",89098000,4300000,267300,nan,328239523,37.09024,-95.712891,2008-11-08,270663028
211,"Goldmines Bollywood",26400000,"Film & Animation",Film,8595760553,"Goldmines Bollywood",India,99677000,4800000,299000,400000,1366417754,20.593684,78.96288,2015-07-22,471031528
212,"Alan Chikin Chow",26400000,Comedy,Comedy,27006526665,"Alan Chikin Chow","United States",1046000000,50200000,3100000,1300000,328239523,37.09024,-95.712891,2020-02-03,270663028
213,"PANDA BOI",26400000,Entertainment,Entertainment,17211600007,"PANDA BOI",Italy,1225000000,58800000,3700000,2000000,60297396,41.87194,12.56738,2020-12-05,42651966
214,"BB Ki Vines",26300000,Entertainment,Entertainment,4749833967,"BB Ki Vines",India,17264000,828600,51800,nan,1366417754,20.593684,78.96288,2015-06-20,471031528
215,"D Billions",26200000,nan,Entertainment,31977463002,"D Billions","United States",487076000,23400000,1500000,200000,328239523,37.09024,-95.712891,2019-07-27,270663028
216,Junya.,26200000,Entertainment,Entertainment,16097531087,Junya.,Japan,721848000,34600000,2200000,1100000,126226568,36.204824,138.252924,2020-09-14,115782416
217,Smosh,26100000,Comedy,Comedy,10435474336,Smosh,"United States",68156000,3300000,204500,400000,328239523,37.09024,-95.712891,2005-11-19,270663028
220,Beyonc,26000000,Music,Music,17308961985,Beyonc,"United States",55454000,2700000,166400,nan,328239523,37.09024,-95.712891,2005-11-07,270663028
222,Indosiar,25900000,Music,Entertainment,11372071889,Indosiar,Indonesia,230183000,11000000,690500,600000,270203917,-0.789275,113.921327,2013-09-23,151509724
223,VanossGaming,25800000,Gaming,Games,15541421838,VanossGaming,Canada,54947000,2600000,164800,nan,36991981,56.130366,-106.346771,2011-09-15,30628482
224,"David Guetta",25700000,Music,Music,17793809548,"David Guetta","United States",164215000,7900000,492600,100000,328239523,37.09024,-95.712891,2009-12-11,270663028
225,LosPolinesios,25700000,"People & Blogs",People,7466926260,LosPolinesios,Mexico,30501000,1500000,91500,nan,126014024,23.634501,-102.552784,2012-12-16,102626859
226,"Nicki Minaj",25700000,Music,Music,10242981063,"Nicki Minaj","United States",103631000,5000000,310900,100000,328239523,37.09024,-95.712891,2013-08-28,270663028
228,TaylorSwiftVEVO,25600000,Music,Music,25592378292,TaylorSwiftVEVO,"United States",318593000,15300000,955800,100000,328239523,37.09024,-95.712891,2009-05-12,270663028
230,"Post Malone",25500000,Music,Music,14401218086,"Post Malone","United States",195499000,9400000,586500,100000,328239523,37.09024,-95.712891,2011-12-15,270663028
231,"Rans Entertainment",25400000,"People & Blogs",Entertainment,6430853035,"Rans Entertainment",Indonesia,58487000,2800000,175500,100000,270203917,-0.789275,113.921327,2015-12-27,151509724
232,LankyBox,25400000,Comedy,Games,34300482066,LankyBox,"United States",815341000,39100000,2400000,600000,328239523,37.09024,-95.712891,2016-07-30,270663028
233,Coldplay,25300000,Music,Music,17331663193,Coldplay,"United Kingdom",198875000,9500000,596600,100000,66834405,55.378051,-3.435973,2010-01-03,55908316
235,"WB Kids",25200000,"People & Blogs",Film,11081602368,"WB Kids","United States",140319000,6700000,421000,300000,328239523,37.09024,-95.712891,2015-03-31,270663028
238,"The Lallantop",25200000,"News & Politics",News,10409352249,"The Lallantop",India,273920000,13100000,821800,300000,1366417754,20.593684,78.96288,2015-03-23,471031528
239,RihannaVEVO,25100000,Music,Music,19458807708,RihannaVEVO,"United States",94246000,4500000,282700,nan,328239523,37.09024,-95.712891,2009-05-12,270663028
240,WatchMojo.com,25100000,Music,Entertainment,16357064198,WatchMojo.com,Canada,49009000,2400000,147000,nan,36991981,56.130366,-106.346771,2007-01-25,30628482
241,"TRANS7 OFFICIAL",25000000,Entertainment,Entertainment,14169516119,"TRANS7 OFFICIAL",Indonesia,123189000,5900000,369600,100000,270203917,-0.789275,113.921327,2014-09-04,151509724
242,"Anuel AA",25000000,Music,Music,14827085149,"Anuel AA",Colombia,284144000,13600000,852400,300000,50339443,4.570868,-74.297333,2016-09-08,40827302
243,"Dan Rhodes",24800000,Entertainment,Entertainment,17387583720,"Dan Rhodes","United Kingdom",331889000,15900000,995700,500000,66834405,55.378051,-3.435973,2015-10-30,55908316
244,Yuya,24800000,"Howto & Style",Howto,2588501115,Yuya,Mexico,336291,16100,1000,nan,126014024,23.634501,-102.552784,2009-09-20,102626859
245,"America's Got Talent",24800000,Entertainment,Entertainment,3699352704,"America's Got Talent","United States",134412000,6500000,403200,400000,328239523,37.09024,-95.712891,2006-06-29,270663028
247,EminemVEVO,24700000,Music,Music,20531704527,EminemVEVO,"United States",139443000,6700000,418300,100000,328239523,37.09024,-95.712891,2009-05-12,270663028
248,"Chloe Ting",24700000,"Howto & Style",Howto,2994726412,"Chloe Ting",Australia,23263000,1100000,69800,nan,25766605,-25.274398,133.775136,2011-08-17,21844756
249,KatyPerryVEVO,24600000,Music,Music,23755792542,KatyPerryVEVO,"United States",88940000,4300000,266800,100000,328239523,37.09024,-95.712891,2009-12-13,270663028
250,"Mark Rober",24600000,"Science & Technology",Tech,3647987299,"Mark Rober","United States",88625000,4300000,265900,200000,328239523,37.09024,-95.712891,2011-10-20,270663028
251,"1theK (        ",24500000,Music,Entertainment,23962070944,"1theK (        ","South Korea",105567000,5100000,316700,nan,51709098,35.907757,127.766922,2011-01-31,42106719
252,"Like Nastya AE",24400000,Entertainment,Entertainment,12385924995,"Like Nastya AE","United States",169865000,8200000,509600,400000,328239523,37.09024,-95.712891,2018-12-19,270663028
254,"Pen Movies",24300000,"Film & Animation",Film,6608773195,"Pen Movies",India,94853000,4600000,284600,300000,1366417754,20.593684,78.96288,2014-03-25,471031528
255,"MrBeast en Espa  ",24200000,Entertainment,Entertainment,2700914170,"MrBeast en Espa  ",Mexico,33590000,1600000,100800,100000,126014024,23.634501,-102.552784,2021-07-09,102626859
256,"shfa show India",24200000,nan,People,15724160183,"shfa show India","United Arab Emirates",151208000,7300000,453600,200000,9770529,23.424076,53.847818,2019-04-01,8479744
257,"Super JoJo - Nursery Rhymes & Kids Songs",24100000,nan,Education,329774870,"Super JoJo - Nursery Rhymes & Kids Songs","United States",328503000,15800000,985500,100000,328239523,37.09024,-95.712891,2019-05-31,270663028
258,"Alejo Igoa",24100000,Comedy,Entertainment,10999000479,"Alejo Igoa",Argentina,401512000,19300000,1200000,600000,44938712,-38.416097,-63.616672,2014-01-17,41339571
260,"netd m",24100000,Music,Music,56106087508,"netd m",Turkey,424815000,20400000,1300000,200000,83429615,38.963745,35.243322,2014-01-23,63097818
261,"DJ Snake",24100000,Music,Music,8425505919,"DJ Snake","United States",63293000,3000000,189900,nan,328239523,37.09024,-95.712891,2008-09-24,270663028
262,"Diana and Roma ARA",24100000,nan,Entertainment,11041261296,"Diana and Roma ARA","United States",66884000,3200000,200700,200000,328239523,37.09024,-95.712891,2019-02-01,270663028
263,KSI,24100000,Entertainment,Music,6002166932,KSI,"United Kingdom",5439000,261100,16300,nan,66834405,55.378051,-3.435973,2009-07-25,55908316
264,"Spider Slack",24000000,Comedy,Comedy,13943030228,"Spider Slack",Brazil,761451000,36500000,2300000,1100000,212559417,-14.235004,-51.92528,2020-05-18,183241641
266,Preston,24000000,Gaming,Entertainment,8279004442,Preston,"United States",151697000,7300000,455100,200000,328239523,37.09024,-95.712891,2012-07-04,270663028
267,"James Charles",23900000,Entertainment,Entertainment,4067878931,"James Charles","United States",58126000,2800000,174400,100000,328239523,37.09024,-95.712891,2015-12-01,270663028
268,"Collins Key",23900000,Entertainment,Entertainment,6582932625,"Collins Key","United States",10853000,520900,32600,nan,328239523,37.09024,-95.712891,2011-08-09,270663028
269,"Diana and Roma EN",23900000,"People & Blogs",Entertainment,7213499085,"Diana and Roma EN","United States",177769000,8500000,533300,300000,328239523,37.09024,-95.712891,2011-12-22,270663028
271,"Troom Troom",23800000,"Howto & Style",Howto,10414479943,"Troom Troom","United States",98052000,4700000,294200,100000,328239523,37.09024,-95.712891,2015-09-12,270663028
272,"Enrique Iglesias",23800000,Music,Music,17688774915,"Enrique Iglesias","United States",122914000,5900000,368700,100000,328239523,37.09024,-95.712891,2007-04-12,270663028
273,Ninja,23700000,Gaming,Games,2543809954,Ninja,"United States",8368000,401700,25100,nan,328239523,37.09024,-95.712891,2011-11-11,270663028
275,"Mister Max",23700000,"People & Blogs",Entertainment,15510153803,"Mister Max","United Kingdom",32817000,1600000,98400,nan,66834405,55.378051,-3.435973,2014-09-22,55908316
276,"That Little Puff",23700000,"Pets & Animals",Animals,20289689389,"That Little Puff","United States",755054000,36200000,2300000,1100000,328239523,37.09024,-95.712891,2020-08-29,270663028
278,"Juan De Dios Pantoja",23600000,Entertainment,People,2135644776,"Juan De Dios Pantoja",Mexico,46862000,2200000,140600,200000,126014024,23.634501,-102.552784,2014-06-09,102626859
279,"Logan Paul",23600000,Entertainment,Entertainment,5994002464,"Logan Paul","United States",10803000,518600,32400,nan,328239523,37.09024,-95.712891,2015-08-29,270663028
280,"Maya and Mary",23600000,Entertainment,Entertainment,6766461070,"Maya and Mary","United States",44542000,2100000,133600,400000,328239523,37.09024,-95.712891,2013-08-30,270663028
281,"Peppa Pig Espa",23600000,"Film & Animation",Film,7920637200,"Peppa Pig Espa","United Kingdom",53589000,2600000,160800,100000,66834405,55.378051,-3.435973,2014-07-28,55908316
282,Jelly,23500000,Gaming,Games,14777034543,Jelly,"United Kingdom",41669000,2000000,125000,nan,66834405,55.378051,-3.435973,2014-05-27,55908316
283,"Miss Katy",23500000,"People & Blogs",Entertainment,14696994366,"Miss Katy","United Kingdom",59629000,2900000,178900,nan,66834405,55.378051,-3.435973,2014-11-17,55908316
284,Tilak,23400000,"Film & Animation",Film,9465863821,Tilak,India,367347000,17600000,1100000,900000,1366417754,20.593684,78.96288,2020-10-10,471031528
285,"Valentina Pontes ofc",23400000,"Film & Animation",Entertainment,7926899136,"Valentina Pontes ofc",Brazil,28285000,1400000,84900,nan,212559417,-14.235004,-51.92528,2014-04-14,183241641
286,"Sesame Street",23300000,Entertainment,Entertainment,22471357411,"Sesame Street","United States",124187000,6000000,372600,100000,328239523,37.09024,-95.712891,2006-01-16,270663028
287,"Happy Lives",23200000,"Science & Technology",Entertainment,2634,"Happy Lives","United States",6589000000,0,0,100000,328239523,37.09024,-95.712891,2016-03-15,270663028
288,"Lady Gaga",23200000,"People & Blogs",Music,15751661213,"Lady Gaga","United States",143169000,6900000,429500,100000,328239523,37.09024,-95.712891,2008-05-15,270663028
290,"Wave Music Bhojpuri",23100000,Music,Music,12889240875,"Wave Music Bhojpuri",India,52678000,2500000,158000,100000,1366417754,20.593684,78.96288,2014-08-10,471031528
291,"GMM GRAMMY OFFICIAL",23100000,Music,Music,25579831081,"GMM GRAMMY OFFICIAL",Thailand,130233000,6300000,390700,nan,69625582,15.870032,100.992541,2010-11-08,35294600
292,TED,23100000,"People & Blogs",Tech,2551113422,TED,"United States",13246000,635800,39700,100000,328239523,37.09024,-95.712891,2006-12-06,270663028
293,"unknown boy varun",23100000,Music,Music,9299371231,"unknown boy varun",India,304021000,14600000,912100,700000,1366417754,20.593684,78.96288,2016-09-27,471031528
294,"Kids TV - Nursery Rhymes And Baby Songs",23100000,Shows,Music,13151870846,"Kids TV - Nursery Rhymes And Baby Songs","United States",128448000,6200000,385300,700000,328239523,37.09024,-95.712891,2013-08-30,270663028
295,"Tsuriki Show",23000000,Entertainment,Comedy,31494513067,"Tsuriki Show",Germany,756717000,36300000,2300000,800000,83132799,51.165691,10.451526,2019-07-10,64324835
296,"Technical Guruji",23000000,"Science & Technology",Tech,3378047383,"Technical Guruji",India,22262000,1100000,66800,nan,1366417754,20.593684,78.96288,2015-10-19,471031528
297,DrossRotzank,23000000,Entertainment,Entertainment,6041264489,DrossRotzank,Argentina,35539000,1700000,106600,100000,44938712,-38.416097,-63.616672,2006-03-09,41339571
298,"White Hill Music",23000000,Entertainment,Music,10939966484,"White Hill Music",India,93183000,4500000,279500,100000,1366417754,20.593684,78.96288,2014-03-23,471031528
299,"Ultra Movie Parlour",22900000,Movies,Film,5320485069,"Ultra Movie Parlour",India,118846000,0,0,300000,1366417754,20.593684,78.96288,2011-05-17,471031528
301,toyorbabytv,22900000,Music,Music,16298342829,toyorbabytv,Jordan,169056000,8100000,507200,300000,10101694,30.585164,36.238414,2012-11-01,9213048
302,"BabyBus - Canciones Infantiles & Videos para Ni  ",22900000,Education,Education,13206471140,"BabyBus - Canciones Infantiles & Videos para",Mexico,136821000,6600000,410500,200000,126014024,23.634501,-102.552784,2018-03-19,102626859
304,"Vania Mania Kids",22700000,"People & Blogs",Education,10115316784,"Vania Mania Kids","United States",155215000,7500000,465600,300000,328239523,37.09024,-95.712891,2015-09-09,270663028
306,"Sun TV",22600000,"People & Blogs",Entertainment,20847038152,"Sun TV",India,982238000,47100000,2900000,600000,1366417754,20.593684,78.96288,2016-02-26,471031528
307,Heroindori,22600000,Comedy,Entertainment,9223534599,Heroindori,India,399152000,19200000,1200000,1400000,1366417754,20.593684,78.96288,2020-06-29,471031528
308,"The Chainsmokers",22600000,Music,Music,14231943358,"The Chainsmokers","United States",81660000,3900000,245000,100000,328239523,37.09024,-95.712891,2012-09-22,270663028
309,mmoshaya,22600000,"People & Blogs",Entertainment,17507060680,mmoshaya,"Saudi Arabia",73829000,3500000,221500,100000,34268528,23.885942,45.079162,2010-12-11,28807838
310,Sia,22600000,Music,Music,13405849040,Sia,"United States",95253000,4600000,285800,nan,328239523,37.09024,-95.712891,2007-11-19,270663028
311,"LeoNata Family",22600000,"People & Blogs",People,27084848152,"LeoNata Family","United States",1174000000,56300000,3500000,1300000,328239523,37.09024,-95.712891,2021-09-28,270663028
312,"Goldmines Cineplex",22500000,"Film & Animation",Film,2431154438,"Goldmines Cineplex",India,48740000,2300000,146200,200000,1366417754,20.593684,78.96288,2015-09-12,471031528
313,"Vlad and Niki Arabic",22500000,nan,Entertainment,10613701948,"Vlad and Niki Arabic","United States",65066000,3100000,195200,100000,328239523,37.09024,-95.712891,2018-11-09,270663028
314,SSundee,22500000,Gaming,Games,13835173331,SSundee,"United States",175094000,8400000,525300,200000,328239523,37.09024,-95.712891,2009-11-28,270663028
315,"Paulo Londra",22400000,Music,Music,8040036209,"Paulo Londra",Argentina,72242000,3500000,216700,nan,44938712,-38.416097,-63.616672,2016-08-08,41339571
316,"Smile Family",22300000,"People & Blogs",Music,8663830163,"SMILE Family",France,735,35,2,10,67059887,46.227638,2.213749,2019-11-03,54123364
317,FGTeeV,22300000,Gaming,Games,24059336857,FGTeeV,"United States",132110000,6300000,396300,100000,328239523,37.09024,-95.712891,2013-05-24,270663028
318,"Kinder Spielzeug Kanal (Kidibli)",22200000,Entertainment,Entertainment,11136266461,"Kinder Spielzeug Kanal (Kidibli)","United States",139333000,6700000,418000,200000,328239523,37.09024,-95.712891,2015-09-25,270663028
319,"Charlie Puth",22000000,Music,Music,9924807127,"Charlie Puth","United States",111500000,5400000,334500,100000,328239523,37.09024,-95.712891,2009-09-09,270663028
320,"Vlad and Niki ESP",22000000,nan,Entertainment,8594440895,"Vlad and Niki ESP","United States",183871000,8800000,551600,200000,328239523,37.09024,-95.712891,2018-10-11,270663028
321,"Sagawa ",22000000,Entertainment,Entertainment,18347969186,"Sagawa ",Japan,711254000,34100000,2100000,800000,126226568,36.204824,138.252924,2021-02-13,115782416
322,"Ben Azelart",21900000,"Film & Animation",Entertainment,4454917643,"Ben Azelart","United States",184946000,8900000,554800,500000,328239523,37.09024,-95.712891,2014-06-05,270663028
323,"Zach Choi ASMR",21900000,"People & Blogs",People,5918314128,"Zach Choi ASMR","United States",234222000,11200000,702700,400000,328239523,37.09024,-95.712891,2014-07-05,270663028
324,"Topper Guild",21900000,Comedy,Comedy,15552070846,"Topper Guild","United States",687028000,33000000,2100000,1900000,328239523,37.09024,-95.712891,2014-07-09,270663028
325,"Disney Latinoam",21900000,Entertainment,Music,20657571751,disneylatinoamerica,Mexico,4719,227,14,nan,126014024,23.634501,-102.552784,2008-04-07,102626859
326,"Stokes Twins",21800000,"People & Blogs",People,4469711607,"Stokes Twins","United States",197953000,9500000,593900,600000,328239523,37.09024,-95.712891,2008-04-11,270663028
327,"National Geographic",21800000,"Science & Technology",Entertainment,5614621131,"National Geographic","United States",45812000,2200000,137400,100000,328239523,37.09024,-95.712891,2006-05-07,270663028
328,"Dua Lipa",21800000,Music,Music,11288359365,"Dua Lipa","United Kingdom",128047000,6100000,384100,100000,66834405,55.378051,-3.435973,2011-02-05,55908316
329,OneDirectionVEVO,21800000,Music,Music,12140232004,OneDirectionVEVO,"United Kingdom",51134000,2500000,153400,nan,66834405,55.378051,-3.435973,2010-12-04,55908316
333,"ZAMZAM ELECTRONICS TRADING",21700000,nan,People,8507818877,"ZAMZAM ELECTRONICS TRADING","United Arab Emirates",1598000000,76700000,4800000,3400000,9770529,23.424076,53.847818,2020-12-19,8479744
334,"DUDU e CAROL",21600000,"Autos & Vehicles",Entertainment,9597894786,"DUDU e CAROL",Brazil,193174000,9300000,579500,300000,212559417,-14.235004,-51.92528,2013-03-02,183241641
335,"Village Cooking Channel",21600000,"Howto & Style",Howto,5863377051,"Village Cooking Channel",India,194604000,9300000,583800,400000,1366417754,20.593684,78.96288,2018-04-25,471031528
336,"Eva Bravo Play",21600000,Entertainment,Entertainment,9346383505,"Eva Bravo Play","United States",63919000,3100000,191800,nan,328239523,37.09024,-95.712891,2019-05-07,270663028
337,"Tekashi 6ix9ine",21500000,"People & Blogs",Music,5890180734,"Tekashi 6ix9ine","United States",113542000,5400000,340600,200000,328239523,37.09024,-95.712891,2018-04-06,270663028
338,Tlnovelas,21500000,"News & Politics",Entertainment,15013096899,tlnovelas,Mexico,15459,742,46,nan,126014024,23.634501,-102.552784,2014-01-02,102626859
340,invictor,21500000,Gaming,People,8409641722,INVICTOR,Chile,49,2,0.15,4,18952038,-35.675147,-71.542969,2016-07-26,16610135
342,"Sidhu Moose Wala",21400000,Music,Music,6264261757,"Sidhu Moose Wala",India,160690000,7700000,482100,500000,1366417754,20.593684,78.96288,2017-10-30,471031528
343,"The Royalty Family",21300000,"People & Blogs",People,6269945014,"The Royalty Family","United States",160227000,7700000,480700,200000,328239523,37.09024,-95.712891,2017-04-13,270663028
344,"Becky G",21300000,Music,Music,10644857969,"Becky G","United States",103171000,5000000,309500,100000,328239523,37.09024,-95.712891,2011-09-06,270663028
345,"Ishaan Ali 11",21300000,"People & Blogs",People,12761253839,"Ishaan Ali 11",India,729409000,35000000,2200000,1600000,1366417754,20.593684,78.96288,2016-07-27,471031528
346,Infinite,21300000,Entertainment,Entertainment,5141834668,Infinite,"United States",68350000,3300000,205100,200000,328239523,37.09024,-95.712891,2014-08-21,270663028
347,Azhan5star,21300000,Entertainment,Entertainment,10047736580,Azhan5star,India,236293000,11300000,708900,600000,1366417754,20.593684,78.96288,2021-02-02,471031528
348,"Dangal TV Channel",21300000,Entertainment,Entertainment,12895427184,"Dangal TV Channel",India,561020000,26900000,1700000,700000,1366417754,20.593684,78.96288,2017-08-02,471031528
350,"GMA Public  Affairs",21200000,Entertainment,News,11364908616,"GMA Public  Affairs",Philippines,142317000,6800000,427000,200000,108116615,12.879721,121.774017,2009-08-08,50975903
351,Tasty,21100000,"Howto & Style",Howto,5783557209,Tasty,"United States",24691000,1200000,74100,nan,328239523,37.09024,-95.712891,2016-01-22,270663028
352,"Baim Paula",21100000,"People & Blogs",Entertainment,4526271677,"Baim Paula",Indonesia,26974000,1300000,80900,100000,270203917,-0.789275,113.921327,2016-06-04,151509724
353,nigahiga,21000000,Entertainment,Entertainment,4380564906,nigahiga,"United States",2476000,118900,7400,nan,328239523,37.09024,-95.712891,2006-07-21,270663028
354,"Rafa & Luiz",21000000,Entertainment,Entertainment,7762905663,"Rafa & Luiz",Brazil,118410000,5700000,355200,400000,212559417,-14.235004,-51.92528,2015-08-26,183241641
355,"Lyrical Lemonade",21000000,Entertainment,Entertainment,10631638628,"Lyrical Lemonade","United States",80062000,3800000,240200,100000,328239523,37.09024,-95.712891,2013-03-25,270663028
356,"Vlad and Niki IDN",21000000,nan,Entertainment,9789121606,"Vlad and Niki IDN","United States",133362000,6400000,400100,300000,328239523,37.09024,-95.712891,2018-11-09,270663028
357,"Dr. Vivek Bindra: Motivational Speaker",20900000,Education,Education,1693149479,"Dr. Vivek Bindra: Motivational Speaker",India,28588000,1400000,85800,100000,1366417754,20.593684,78.96288,2013-12-06,471031528
358,"Fatos Desconhecidos",20900000,Entertainment,Entertainment,3828000587,"Fatos Desconhecidos",Brazil,52330000,2500000,157000,100000,212559417,-14.235004,-51.92528,2013-09-26,183241641
359,"Brave Wilderness",20900000,"Pets & Animals",Animals,4927879069,"Brave Wilderness","United States",2989000,0,0,100000,328239523,37.09024,-95.712891,2014-09-08,270663028
360,"LIV Crime",20900000,"People & Blogs",People,11058049885,"LIV Crime","United States",383700000,18400000,1200000,600000,328239523,37.09024,-95.712891,2020-08-18,270663028
362,"Romeo Santos",20900000,Music,Music,17324976752,RomeoSantos,"United States",99,5,0.3,nan,328239523,37.09024,-95.712891,2006-07-31,270663028
363,"Canal Canalha",20800000,Comedy,Comedy,1870608170,"Canal Canalha",Brazil,23897000,1100000,71700,nan,212559417,-14.235004,-51.92528,2011-04-08,183241641
364,Kurzgesagt,20800000,Education,Education,2378448129,Kurzgesagt,Germany,29269000,1400000,87800,100000,83132799,51.165691,10.451526,2013-07-09,64324835
365,Yoeslan,20700000,Entertainment,Entertainment,17963202261,Yoeslan,"United States",874796000,42000000,2600000,1000000,328239523,37.09024,-95.712891,2020-09-26,270663028
366,"5-Minute Crafts DIY",20700000,"Howto & Style",Howto,5091618606,"5-Minute Crafts DIY","United States",20012000,960600,60000,nan,328239523,37.09024,-95.712891,2018-01-18,270663028
368,"tuzelity SHUFFLE",20700000,"People & Blogs",People,8658941531,"tuzelity SHUFFLE",Russia,552266000,26500000,1700000,1600000,144373535,61.52401,105.318756,2015-10-26,107683889
369,NBA,20700000,Sports,Sports,12624879732,NBA,"United States",73025000,3500000,219100,nan,328239523,37.09024,-95.712891,2005-11-21,270663028
370,"Deddy Corbuzier",20600000,Entertainment,Entertainment,4956090094,deddycorbuzier,Indonesia,85,4,0.26,1,270203917,-0.789275,113.921327,2007-07-23,151509724
371,Bizarrap,20600000,Comedy,Entertainment,7657171980,Bizarrap,Argentina,193176000,9300000,579500,200000,44938712,-38.416097,-63.616672,2017-01-15,41339571
372,Avicii,20600000,Music,Music,10292874715,Avicii,Sweden,81236000,3900000,243700,nan,10285453,60.128161,18.643501,2009-10-28,9021165
373,"Mnet K-POP",20500000,Entertainment,Entertainment,15038593883,"Mnet K-POP","South Korea",158540000,7600000,475600,100000,51709098,35.907757,127.766922,2006-03-09,42106719
374,LazarBeam,20500000,Gaming,Games,8768697257,LazarBeam,Australia,26082000,1300000,78200,nan,25766605,-25.274398,133.775136,2015-01-04,21844756
375,"Ninja Kidz TV",20500000,Entertainment,Entertainment,11009148579,"Ninja Kidz TV","United States",195203000,9400000,585600,100000,328239523,37.09024,-95.712891,2017-02-09,270663028
376,"Totoy kids - Portugu",20400000,"Film & Animation",Film,1796227417,"Totoy kids - Portugu",Brazil,39495000,1900000,118500,100000,212559417,-14.235004,-51.92528,2014-12-02,183241641
377,"Jake Paul",20400000,"People & Blogs",People,7311322368,"Jake Paul","United States",14646000,703000,43900,100000,328239523,37.09024,-95.712891,2013-09-19,270663028
379,"Vijay Television",20400000,Entertainment,Entertainment,29406206620,"Vijay Television",India,907534000,43600000,2700000,400000,1366417754,20.593684,78.96288,2007-02-01,471031528
380,SlivkiShow,20400000,Entertainment,Entertainment,4707412332,SlivkiShow,Ukraine,28990000,1400000,87000,nan,44385155,48.379433,31.16558,2012-12-11,30835699
381,"Emiway Bantai",20400000,Music,Music,3579555124,"Emiway Bantai",India,41289000,2000000,123900,100000,1366417754,20.593684,78.96288,2013-05-03,471031528
382,"Got Talent Global",20300000,Entertainment,Entertainment,2441288701,"Got Talent Global","United Kingdom",86457000,4100000,259400,100000,66834405,55.378051,-3.435973,2013-01-31,55908316
384,"BabyBus - Cerita & Lagu Anak-anak",20300000,Education,Education,11819051552,"BabyBus - Cerita & Lagu Anak-anak",Indonesia,112768000,5400000,338300,100000,270203917,-0.789275,113.921327,2019-01-14,151509724
385,"Ami Rodriguez",20200000,Entertainment,Entertainment,2951914200,"Ami Rodriguez",Colombia,263864000,12700000,791600,1600000,50339443,4.570868,-74.297333,2009-07-20,40827302
386,"Noor Stars",20200000,Comedy,Entertainment,2764127969,"Noor Stars","United Arab Emirates",15556000,746700,46700,100000,9770529,23.424076,53.847818,2014-04-24,8479744
388,"Kiddiestv Hindi - Nursery Rhymes & Kids Songs",20200000,Education,Education,7274150246,"Kiddiestv Hindi - Nursery Rhymes & Kids Songs",India,113420000,5400000,340300,300000,1366417754,20.593684,78.96288,2017-05-25,471031528
389,dednahype,20200000,Comedy,Comedy,20919403720,dednahype,Latvia,1245000000,59800000,3700000,1200000,1912789,56.879635,24.603189,2020-03-20,1304943
390,"Marta and Rustam",20200000,Comedy,Comedy,19694265358,"Marta and Rustam","United States",452250000,21700000,1400000,600000,328239523,37.09024,-95.712891,2021-06-21,270663028
391,MiawAug,20200000,Gaming,Games,6098644584,MiawAug,Indonesia,64489000,3100000,193500,200000,270203917,-0.789275,113.921327,2014-03-15,151509724
392,CookieSwirlC,20100000,Entertainment,Games,23353115850,CookieSwirlC,"United States",221702000,10600000,665100,200000,328239523,37.09024,-95.712891,2013-11-03,270663028
